Year,Champion,Runner-Up,photo
2014,Germany,Argentina,https://i.ytimg.com/vi/El4rO-rrPuo/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLBHu6DpI_agysNjRBKBbgWaZISwPQ
2010,Spain,Netherlands,https://i.ytimg.com/vi/47yOv3MS20M/maxresdefault.jpg
2006,Italy,France,https://i.ytimg.com/vi/FcvJDKlF9_s/maxresdefault.jpg
2002,Brazil,Germany,https://www.aljazeera.com/wp-content/uploads/2022/10/AP02063002228.jpg?resize=1800%2C1800
1998,France,Brazil,https://www.aljazeera.com/wp-content/uploads/2022/10/000_SAPA980713670020.jpg?resize=1727%2C1080
1994,Brazil,Italy,https://i.ytimg.com/vi/7kWv6RNzWmE/hqdefault.jpg
